,Frame,Time
0,1,4.399787006999986
1,2,3.8970941079999193
2,3,1.5895217690000436
3,4,1.9453058390000706
4,5,1.6253846880000538
5,6,1.1562460589999546
6,7,1.3196256069999208
7,8,1.3255423980000387
8,9,2.2895953119999604
9,10,2.0271875920000184
10,11,1.3594260899999426
11,12,2.1936025539999946
12,13,1.620749782999951
13,14,1.203360320999991
14,15,1.1395902780000142
15,16,1.6557872540000744
16,17,1.1250056829999266
17,18,1.6933028060000197
18,19,1.1536868649999406
19,20,1.9079992840000841
20,21,1.9298763229999167
21,22,1.71398646800003
22,23,1.1440114399999857
23,24,2.0358793510000623
24,25,1.2178893679999874
25,26,1.5887240680000332
26,27,1.135715729000026
27,28,1.279449717000034
28,29,1.3043014330000915
29,30,2.8205834870000217
30,31,1.7917589730000145
31,32,1.2813352819999864
32,33,1.1969214160000092
33,34,2.9208760609999445
34,35,1.1691576700000041
35,36,1.1911020070000404
36,37,1.1842920159999721
37,38,1.6869531469999401
38,39,1.9494726860000355
39,40,1.273884317000011
40,41,1.208971295000083
41,42,1.7075265879999506
42,43,1.1580425259999174
43,44,1.164570665000042
44,45,1.2072598440000775
45,46,1.1148919250000517
46,47,1.1270132800000283
47,48,1.8352554020000298
48,49,2.0307072919999882
49,50,2.0660403379999934
50,51,1.2207133230000409
51,52,1.5182915389999607
52,53,1.0940144889999601
53,54,1.8775054609999415
54,55,1.115097860999981
55,56,2.017161592000093
56,57,1.8547826369999711
57,58,1.750777079000045
58,59,1.107145734000028
59,60,1.2260872949999566
60,61,1.0883236880000595
61,62,1.1405175009999766
62,63,1.3261853619999329
63,64,1.1303456379999943
64,65,1.1368631389999564
65,66,1.1380852419999883
66,67,1.6591112490000341
67,68,2.0367239189999964
68,69,1.7746180770000137
69,70,1.1637035170000445
70,71,1.21028882600001
71,72,1.2321713459999728
72,73,1.1370358379999743
73,74,1.2206083220000892
74,75,1.130633673000034
75,76,1.144736815999977
76,77,1.6180277229999547
77,78,1.9597328300000072
78,79,1.2724068019999777
79,80,1.1497784239999191
80,81,1.0797028090000822
81,82,1.1401953939999885
82,83,1.1073822240000482
83,84,1.1481978230000323
84,85,1.1129251500000237
85,86,1.1253472319999673
86,87,1.1393668779999189
87,88,1.8540381259999776
88,89,1.8973351610000009
89,90,1.2219908219999525
90,91,1.1358676069999092
91,92,1.1552100819999396
92,93,1.1327066769999874
93,94,1.1444901390000268
94,95,1.1668149150000318
95,96,1.2298077510000667
96,97,1.2152113380000173
97,98,1.4195309559999032
98,99,1.9188746379999202
99,100,1.653550068999948
100,101,1.144905863999952
101,102,1.3187148929999921
102,103,3.131886361999932
103,104,2.793033778999984
104,105,4.432465868999998
105,106,4.515587787999948
106,107,4.238416551
107,108,9.876120226000012
108,109,3.571579100000008
109,110,2.4728264539999145
110,111,5.0568136770000365
111,112,3.635728075000088
112,113,13.791549970999995
113,114,0.013637085000027582
114,115,0.014063136000004306
115,116,0.013598085000012361
116,117,0.013758606000010332
117,118,0.014246228000047267
118,119,0.013601166999933412
119,120,0.01353820799999994
120,121,0.013563717000124598
121,122,0.013209808000056
122,123,0.013205872000071395
123,124,0.013038908999988053
124,125,0.01397391799991965
125,126,0.013888628999893626
126,127,0.013346173999934763
127,128,0.013371357000096395
128,129,0.013733249000097203
129,130,0.014399105999927997
130,131,0.016137094999976398
131,132,0.02123214200014445
132,133,0.017158712000082232
133,134,0.013740053999981683
134,135,0.013855642000180524
135,136,0.013848897000116267
136,137,0.013384052999981577
137,138,0.013232325999979366
138,139,0.013168055000051027
139,140,0.013130250000131127
140,141,0.013261904000046343
141,142,0.014039997000054427
142,143,0.013287283999943611
143,144,0.013446955000063099
144,145,0.015934676000142645
145,146,0.013614134999897942
146,147,0.013719157999958043
147,148,0.014485519999880125
148,149,0.013956544999928155
149,150,0.013241404999916995
